Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,temp_diff,power_kw
0.15625000000000056,308.6,0.8302775621637539,0.7629233511586452,0.0,0,0,0,0,0,0,0.6999999999999943,0.8649868283360235
0.17187499999999528,308.7,0.7537271486309256,0.8253119429590017,0.014559572919194422,0,0,0,0,0,0,0.6999999999999943,0.8494495160486858
0.15625000000000056,308.5,0.8019057305746637,0.8805704099821746,0.024265954865324037,0,0,0,0,0,0,0.6666666666666541,0.9642567544764569
0.17187499999999528,308.6,0.7671100880597418,0.7040998217468806,0.03397233681145365,0,0,0,0,0,0,0.666666666666673,0.7375597585175392
0.17187499999999528,308.7,0.7537271486309256,0.7130124777183601,0.043678718757583265,0,0,0,0,0,0,0.6999999999999943,0.7338656726122558
0.15625000000000056,308.6,0.7628275474425206,0.7468805704099821,0.05338510070371288,0,0,0,0,0,0,0.6999999999999943,0.7780057643376466
0.15625000000000056,308.6,0.8340247852038225,0.7557932263814616,0.0679446736229073,0,0,0,0,0,0,0.6999999999999943,0.8607702279869942
0.15625000000000056,308.6,0.8174299403120905,0.7165775401069518,0.07765105556903691,0,0,0,0,0,0,0.6999999999999943,0.799869280177066
0.1874999999999989,308.7,0.8923744011134609,0.5098039215686274,0.08735743751516653,0,0,0,0,0,0,0.6666666666666541,0.6212344918429763
0.21874999999999722,309.0,0.9319879018227567,0.49910873440285203,0.10191701043436095,0,0,0,0,0,0,0.6999999999999943,0.635200351713463
0.20312499999999362,308.9,0.9539359224860152,0.4260249554367201,0.11647658335355537,0,0,0,0,0,0,0.6999999999999943,0.554957248285182
0.23437500000000083,309.1,0.7617569122882153,0.7896613190730837,0.14074253821887941,0,0,0,0,0,0,0.6999999999999943,0.8214148570532086
0.23437500000000083,309.1,0.716790235807393,0.910873440285205,0.16500849308420346,0,0,0,0,0,0,0.6999999999999943,0.8915699135401475
0.23437500000000083,309.2,0.9325232193999093,0.5347593582887701,0.17956806600339786,0,0,0,0,0,0,0.7333333333333156,0.6809627139686875
0.23437500000000083,309.2,1.0,0.3493761140819964,0.1941276389225923,0,0,0,0,0,0,0.7333333333333156,0.5197259626742264
0.23437500000000083,309.2,0.8254597039693802,0.8627450980392156,0.2038340208687219,0,0,0,0,0,0,0.7333333333333156,0.9724866827225845
0.23437500000000083,309.2,0.7018013436471189,0.8306595365418895,0.2135404028148515,0,0,0,0,0,0,0.7333333333333156,0.7960540126177467
0.24999999999999556,309.2,0.7547977837852309,0.8128342245989305,0.22809997573404595,0,0,0,0,0,0,0.6999999999999943,0.8377952288046446
0.26562499999999917,309.2,0.6991247557613557,0.9714795008912656,0.24265954865324035,0,0,0,0,0,0,0.6666666666666541,0.9274566225057265
0.2812499999999939,309.3,0.8736382859131183,0.5793226381461676,0.2669255035185644,0,0,0,0,0,0,0.666666666666673,0.691126336565235
0.2812499999999939,309.3,0.7360616685848883,0.7611408199643495,0.28148507643775883,0,0,0,0,0,0,0.666666666666673,0.7650406303843583
0.26562499999999917,309.3,0.7762104868713368,0.7985739750445632,0.30575103130308284,0,0,0,0,0,0,0.6999999999999943,0.8464473382970904
0.2812499999999939,309.3,0.8463370894783333,0.5472370766488414,0.31545741324921245,0,0,0,0,0,0,0.666666666666673,0.632447052412629
0.2968749999999975,309.4,0.9410883006343517,0.4581105169340463,0.3300169861684069,0,0,0,0,0,0,0.6666666666666541,0.5887161116481762
0.2968749999999975,309.4,0.8356307379352804,0.6648841354723707,0.3397233681145365,0,0,0,0,0,0,0.6666666666666541,0.7586922753471301
0.2968749999999975,309.5,0.9962260110810742,0.41532976827094475,0.3542829410337309,0,0,0,0,0,0,0.6999999999999943,0.5650101134559979
0.3125000000000011,309.5,0.8094001766548008,0.6951871657754011,0.36398932297986053,0,0,0,0,0,0,0.6666666666666541,0.7683698682989967
0.3125000000000011,309.4,0.969460132223442,0.4385026737967915,0.37369570492599014,0,0,0,0,0,0,0.6333333333333138,0.580507031858657
0.3125000000000011,309.4,0.7703219935226576,0.787878787878788,0.3979616597913142,0,0,0,0,0,0,0.6333333333333138,0.8287756652644779
0.2968749999999975,309.4,0.9062926581194297,0.5365418894830659,0.4076680417374438,0,0,0,0,0,0,0.6666666666666541,0.6640142217746755
0.3125000000000011,309.5,0.716790235807393,0.859180035650624,0.4173744236835734,0,0,0,0,0,0,0.6666666666666541,0.8409720123803348
