machine_id,Air temperature [K],temp_diff,Rotational speed [rpm],Torque [Nm],power_kw,Tool wear [min]
1,0.1562500000000005,0.6999999999999943,0.8302775621637539,0.7629233511586452,0.8649868283360235,0.0
4,0.1718749999999952,0.6999999999999943,0.7537271486309256,0.8253119429590017,0.8494495160486858,0.0145595729191944
4,0.1562500000000005,0.6666666666666541,0.8019057305746637,0.8805704099821746,0.9642567544764568,0.024265954865324
3,0.1718749999999952,0.666666666666673,0.7671100880597418,0.7040998217468806,0.7375597585175392,0.0339723368114536
3,0.1718749999999952,0.6999999999999943,0.7537271486309256,0.7130124777183601,0.7338656726122558,0.0436787187575832
5,0.1562500000000005,0.6999999999999943,0.7628275474425206,0.7468805704099821,0.7780057643376466,0.0533851007037128
1,0.1562500000000005,0.6999999999999943,0.8340247852038225,0.7557932263814616,0.8607702279869942,0.0679446736229073
4,0.1562500000000005,0.6999999999999943,0.8174299403120905,0.7165775401069518,0.799869280177066,0.0776510555690369
2,0.1874999999999989,0.6666666666666541,0.8923744011134609,0.5098039215686274,0.6212344918429763,0.0873574375151665
1,0.2187499999999972,0.6999999999999943,0.9319879018227568,0.499108734402852,0.635200351713463,0.1019170104343609
3,0.2031249999999936,0.6999999999999943,0.9539359224860152,0.4260249554367201,0.554957248285182,0.1164765833535553
5,0.2343750000000008,0.6999999999999943,0.7617569122882153,0.7896613190730837,0.8214148570532086,0.1407425382188794
4,0.2343750000000008,0.6999999999999943,0.716790235807393,0.910873440285205,0.8915699135401475,0.1650084930842034
4,0.2343750000000008,0.7333333333333156,0.9325232193999092,0.5347593582887701,0.6809627139686875,0.1795680660033978
4,0.2343750000000008,0.7333333333333156,1.0,0.3493761140819964,0.5197259626742264,0.1941276389225923
4,0.2343750000000008,0.7333333333333156,0.8254597039693802,0.8627450980392156,0.9724866827225844,0.2038340208687219
3,0.2343750000000008,0.7333333333333156,0.7018013436471189,0.8306595365418895,0.7960540126177467,0.2135404028148515
1,0.2499999999999955,0.6999999999999943,0.7547977837852309,0.8128342245989305,0.8377952288046446,0.2280999757340459
5,0.2656249999999991,0.6666666666666541,0.6991247557613557,0.9714795008912656,0.9274566225057264,0.2426595486532403
3,0.2812499999999939,0.666666666666673,0.8736382859131183,0.5793226381461676,0.691126336565235,0.2669255035185644
3,0.2812499999999939,0.666666666666673,0.7360616685848883,0.7611408199643495,0.7650406303843583,0.2814850764377588
2,0.2656249999999991,0.6999999999999943,0.7762104868713368,0.7985739750445632,0.8464473382970904,0.3057510313030828
1,0.2812499999999939,0.666666666666673,0.8463370894783333,0.5472370766488414,0.632447052412629,0.3154574132492124
5,0.2968749999999975,0.6666666666666541,0.9410883006343516,0.4581105169340463,0.5887161116481762,0.3300169861684069
4,0.2968749999999975,0.6666666666666541,0.8356307379352804,0.6648841354723707,0.7586922753471301,0.3397233681145365
4,0.2968749999999975,0.6999999999999943,0.9962260110810742,0.4153297682709447,0.5650101134559979,0.3542829410337309
3,0.3125000000000011,0.6666666666666541,0.8094001766548008,0.6951871657754011,0.7683698682989967,0.3639893229798605
5,0.3125000000000011,0.6333333333333138,0.969460132223442,0.4385026737967915,0.580507031858657,0.3736957049259901
3,0.3125000000000011,0.6333333333333138,0.7703219935226576,0.787878787878788,0.8287756652644779,0.3979616597913142
3,0.2968749999999975,0.6666666666666541,0.9062926581194296,0.5365418894830659,0.6640142217746755,0.4076680417374438
3,0.3125000000000011,0.6666666666666541,0.716790235807393,0.859180035650624,0.8409720123803348,0.4173744236835734
2,0.2968749999999975,0.6666666666666541,0.9625010037204575,0.4545454545454545,0.5974255543962945,0.4319339966027678
1,0.2968749999999975,0.6666666666666541,0.7596156419796047,0.8609625668449197,0.8930657903017932,0.4416403785488975
3,0.2812499999999939,0.666666666666673,0.8913037659591556,0.5793226381461676,0.7051013176354879,0.4513467604950271
5,0.2656249999999991,0.6333333333333327,0.8345601027809751,0.6185383244206774,0.7049032572977091,0.4610531424411567
1,0.2656249999999991,0.6666666666666541,0.777281122025642,0.8663101604278075,0.9195107544808871,0.4756127153603511
5,0.2812499999999939,0.6333333333333327,0.8463370894783333,0.6541889483065954,0.7560523395291038,0.4901722882795455
5,0.2656249999999991,0.6333333333333327,0.7703219935226576,0.6987522281639929,0.7350227619540165,0.5047318611987399
2,0.2812499999999939,0.6333333333333327,0.7382029388934989,0.9037433155080214,0.9110163114415418,0.5144382431448695
4,0.2656249999999991,0.6333333333333327,0.7226787291560721,0.9358288770053476,0.9235214763209094,0.5387041980101936
1,0.2656249999999991,0.6333333333333327,0.7291025400819039,0.8092691622103386,0.805725090426923,0.5484105799563233
4,0.2656249999999991,0.6333333333333327,0.7323144455448197,0.9055258467023172,0.9055318643250202,0.5581169619024529
4,0.2656249999999991,0.6333333333333327,0.7323144455448197,0.875222816399287,0.8752286326448523,0.5678233438485825
2,0.2656249999999991,0.6666666666666541,0.7344557158534303,0.8645276292335116,0.8670612497685496,0.5823829167677769
1,0.2656249999999991,0.6333333333333327,0.7879874735686949,0.8467023172905526,0.9110775537828288,0.6066488716331009
5,0.2656249999999991,0.6333333333333327,0.7970878723802899,0.875222816399287,0.9526428611170944,0.6212084445522953
3,0.2499999999999955,0.6333333333333327,0.9865902946923266,0.4598930481283422,0.6195822516567682,0.6309148264984249
5,0.2656249999999991,0.6333333333333327,0.7590803244024521,0.8253119429590017,0.8554825381797133,0.6454743994176194
4,0.2656249999999991,0.6666666666666541,0.7628275474425206,0.96078431372549,1.0,0.655180781363749
